PaperTitle,Year,Author,Citation,Publication,URL
Construction of Military Knowledge Graph Based on Paper Bibliographic Data,2021,D Song,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9602697/
Research on Entity Coreference Resolution Technology Oriented to Military Knowledge Graph,2020,R Hu,,iopscience.iop.org,https://iopscience.iop.org/article/10.1088/1742-6596/1624/5/052003/meta
Application of entity relation extraction method under CRF and syntax analysis tree in the construction of military equipment knowledge graph,2020,C Liu,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9245495/
The Technology of Military Knowledge Graph Construction Based on Multiple Open Data Sources,2020,Z Chen,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9421701/
Research on construction method of knowledge graph of us military equipment based on bilstm model,2019,F Liao,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8735478/
A Knowledge Graph Enhanced Semantic Matching Method for Plan Recommendation,2021,R Liang,,Springer,https://link.springer.com/chapter/10.1007/978-3-030-78811-7_28
Entity Classification for Military Knowledge Graph based on Baidu Encyclopedia Distance Learning,2021,H Jia,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9393163/
Construction and Application Technology Architecture of Domain-specific Knowledge Graphin Military Field,2021,X Meng,,iopscience.iop.org,https://iopscience.iop.org/article/10.1088/1742-6596/1792/1/012044/meta
Study on Military Regulations Knowledge Construction based on Knowledge Graph,2021,Q Zhao,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9619666/
US Air Force Target Knowledge Graph Construction Based on Multi-source Intelligence Analysis,2020,R Hu,,Springer,https://link.springer.com/chapter/10.1007/978-981-15-1468-5_41
Research on Semantic Similarity of Entities with the Case of Event Knowledge Graph,2020,T Li,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9421684/
Construction and Application of Knowledge Graph for Commanders of Synthetic Brigade,2021,H Wang,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9442563/
[CITATION][C] Construction technology of military knowledge graph [J],2016,B Ge,,2016,xx
Construction and application research of knowledge graph in aviation risk field,2018,Q Zhao,,matec-conferences.org,https://www.matec-conferences.org/articles/matecconf/abs/2018/10/matecconf_acmae2018_05003/matecconf_acmae2018_05003.html
[CITATION][C] Military knowledge graph construction technology,2016,G Bin,,2016,xx
A General Framework for Chinese Domain Knowledge Graph Question Answering Based on TransE,2020,Z Pei,,iopscience.iop.org,https://iopscience.iop.org/article/10.1088/1742-6596/1693/1/012136/meta
[CITATION][C] A semantic matching method of combat plan based on military knowledge graph,2019,RP LIANG,,2019,xx
[CITATION][C] Question Answering System Based on Military Knowledge Graph,2018,X Dou,,2018,xx
Ability-oriented Performance Evaluation of General Intelligent Decision-making Engines Based on Knowledge Graphs,2021,X Xu,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9477540/
Question Answering System over Knowledge Graph of Weapon Field,2020,P Gao,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9253485/
The Construction of Knowledge Graph based on Securities Information,2019,QA Li,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8938986/
Research and Application of Agriculture Knowledge Graph,2021,H Zhang,,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3501409.3501531
