PaperTitle;Year;Author;Citation;Publication;URL;Related;Open source;;;;;;;
Development of Domain Knowledge Graph: A Case Study on Flotation Process;2021;C Hu;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9657783/;TRUE;FALSE;;;;;;;
A General Solution and Practice for Automatically Constructing Domain Knowledge Graph;2020;X Yang;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9344946/;FALSE;FALSE;;;;;;;
[HTML][HTML] An Importance Assessment Model of Open-Source Community Java Projects Based on Domain Knowledge Graph;2020;C Yang;;search.proquest.com;https://search.proquest.com/openview/36955e4d8b01ce06f522bba1e0dd29df/1?pq-origsite=gscholar&cbl=4585453;FALSE;FALSE;;;;;;;
Preliminary Study on the Knowledge Graph Construction of Chinese Ancient History and Culture;2020;S Liu;;mdpi.com;https://www.mdpi.com/677820;FALSE;FALSE;;;;;;;
Review on the application of knowledge graph in cyber security assessment;2020;K Zhang;;iopscience.iop.org;https://iopscience.iop.org/article/10.1088/1757-899X/768/5/052103/meta;FALSE;FALSE;;;;;;;
Implementation of intelligent question answering system based on basketball knowledge graph;2019;Y Li;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8997747/;FALSE;FALSE;;;;;;;
Construction of semantic-based traditional Chinese medicine prescription knowledge graph;2018;F Miao;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8577236/;TRUE;FALSE;;;;;;;
Constructing Movie Domain Knowledge Graph Based on LOD;2019;Q Lei;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9049541/;TRUE;FALSE;;;;;;;
Cn-makg: China meteorology and agriculture knowledge graph construction based on semi-structured data;2018;Q Chenglin;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8466485/;TRUE;FALSE;;;;;;;
A General Framework for Chinese Domain Knowledge Graph Question Answering Based on TransE;2020;Z Pei;;iopscience.iop.org;https://iopscience.iop.org/article/10.1088/1742-6596/1693/1/012136/meta;FALSE;FALSE;;;;;;;
Cross-domain Knowledge Discovery based on Knowledge Graph and Patent Mining;2021;F Ye;;iopscience.iop.org;https://iopscience.iop.org/article/10.1088/1742-6596/1744/4/042155/meta;FALSE;FALSE;;;;;;;
Research on ontology non-taxonomic relations extraction in plant domain knowledge graph construction;2016;Z Ming;;en.cnki.com.cn;https://en.cnki.com.cn/Article_en/CJFDTotal-NYJX201609038.htm;FALSE;FALSE;;;;;;;
Discovering Subject Knowledge in Life and Medical Sciences with Knowledge Graph;2020;H Zhengyin;;manu44.magtech.com.cn;http://manu44.magtech.com.cn/Jwk_infotech_wk3/EN/abstract/abstract4955.shtml;FALSE;FALSE;;;;;;;
[PDF][PDF] FarsBase: A Cross-Domain Farsi knowledge Graph.;2018;MB Sajadi;;ceur-ws.org;http://ceur-ws.org/Vol-2198/paper_115.pdf;TRUE;TRUE;;;;;;;
Automatic Generation of Attack Strategy for Multiple Vulnerabilities Based on Domain Knowledge Graph;2021;X Chen;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9589233/;FALSE;FALSE;;;;;;;
KG4ASTRA: question answering over Indian missiles knowledge graph;2021;S Gupta;;Springer;https://link.springer.com/article/10.1007/s00500-021-06233-y;FALSE;FALSE;;;;;;;
Semantic service search in IT crowdsourcing platform: a knowledge graph-based approach;2020;Q Wu;;Scientific;https://www.worldscientific.com/doi/abs/10.1142/S0218194020400069;FALSE;FALSE;;;;;;;
Open industrial knowledge graph development for intelligent manufacturing service matchmaking;2017;Y Zhao;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8328618/;TRUE;FALSE;;;;;;;
Research and Application of Agriculture Knowledge Graph;2021;H Zhang;;dl.acm.org;https://dl.acm.org/doi/abs/10.1145/3501409.3501531;FALSE;FALSE;;;;;;;
TCMKG: A Deep Learning Based Traditional Chinese Medicine Knowledge Graph Platform;2020;Z Zheng;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9194506/;TRUE;FALSE;;;;;;;
Weak Supervised Behavior Recognition Algorithm Based on Domain Knowledge Graph;2021;J Xie;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9513187/;FALSE;FALSE;;;;;;;
[PDF][PDF] Enhancing Semantic Search of Crowdsourcing IT Services using Knowledge Graph.;2019;D Fu;;ksiresearch.org;http://ksiresearch.org/seke/seke19paper/seke19paper_88.pdf;FALSE;FALSE;;;;;;;
A Heuristic Grafting Strategy for Manufacturing Knowledge Graph Extending and Completion Based on Nature Language Processing: KnowTree;2021;L He;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9464315/;FALSE;FALSE;;;;;;;
Semantic Segmentation of MOOC Lecture Videos by Analyzing Concept Change in Domain Knowledge Graph;2020;A Das;;Springer;https://link.springer.com/chapter/10.1007/978-3-030-64452-9_5;FALSE;FALSE;;;;;;;
In search for a cure: recommendation with knowledge graph on CORD-19;26;I Shen;;dl.acm.org;https://dl.acm.org/doi/abs/10.1145/3394486.3406711;FALSE;FALSE;;;;;;;
Development of Knowledge Graph for Data Management Related to Flooding Disasters Using Open Data;2021;J Son;;mdpi.com;https://www.mdpi.com/1104678;TRUE;FALSE;;;;;;;
Multi-relational knowledge graph completion method with local information fusion;2021;J Huang;;Springer;https://link.springer.com/article/10.1007/s10489-021-02876-4;FALSE;FALSE;;;;;;;
KGDDS: a system for drug-drug similarity measure in therapeutic substitution based on knowledge graph curation;2019;Y Shen;;Springer;https://link.springer.com/article/10.1007/s10916-019-1182-z;FALSE;FALSE;;;;;;;
Non-Functional Requirements Elicitation Based on Domain Knowledge Graph for Automatic Code Generation of Industrial Cyber-Physical Systems;2021;Y Zhang;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9589564/;FALSE;FALSE;;;;;;;
A Knowledge Graph Construction Approach for Legal Domain;2021;H Yu;;hrcak.srce.hr;https://hrcak.srce.hr/index.php?show=clanak&id_clanak_jezik=371718;TRUE;FALSE;;;;;;;
An Intelligent Question Answering System based on Power Knowledge Graph;2021;Y Tang;;arxiv.org;https://arxiv.org/abs/2106.09013;FALSE;FALSE;;;;;;;
EAE: Enzyme knowledge graph adaptive embedding;2017;ZY Du;;crad.ict.ac.cn;https://crad.ict.ac.cn/EN/10.7544/issn1000-1239.2017.20170638;FALSE;FALSE;;;;;;;
Rule Reduction after Knowledge Graph Mining for Cyber Situational Awareness Analysis;2020;B Liu;;Elsevier;https://www.sciencedirect.com/science/article/pii/S1877050920318275;FALSE;FALSE;;;;;;;
Automated Calibration of a Poly (oxymethylene) Dimethyl Ether Oxidation Mechanism Using the Knowledge Graph Technology;2021;J Bai;;Publications;https://pubs.acs.org/doi/abs/10.1021/acs.jcim.0c01322;FALSE;FALSE;;;;;;;
Multi-Modal Question Answering System Driven by Domain Knowledge Graph;2019;Z Zhao;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8905031/;FALSE;FALSE;;;;;;;
Construction research and application of poverty alleviation knowledge graph;2019;H Yun;;Springer;https://link.springer.com/chapter/10.1007/978-3-030-30952-7_42;FALSE;FALSE;;;;;;;
Manufacturing knowledge graph: a connectivism to answer production problems query with knowledge reuse;2019;L He;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8777086/;FALSE;FALSE;;;;;;;
A Practice of Tourism Knowledge Graph Construction Based on Heterogeneous Information;2020;D Xiao;;Springer;https://link.springer.com/chapter/10.1007/978-3-030-63031-7_12;TRUE;FALSE;;;;;;;
Constructing knowledge graph from big data of smart grids;2019;H Huang;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8964836/;TRUE;FALSE;;;;;;;
Research on Key Technologies of Knowledge Graph Construction Based on Natural Language Processing;2020;G Wang;;iopscience.iop.org;https://iopscience.iop.org/article/10.1088/1742-6596/1601/3/032057/meta;FALSE;FALSE;;;;;;;
A Model Driven Approach to Constructing Knowledge Graph from Relational Database;2020;S Sun;;iopscience.iop.org;https://iopscience.iop.org/article/10.1088/1742-6596/1584/1/012073/meta;TRUE;FALSE;;;;;;;
Research on the Construction and Application of Knowledge Graph in Military Domain;2020;M Xing;;iopscience.iop.org;https://iopscience.iop.org/article/10.1088/1757-899X/806/1/012053/meta;FALSE;FALSE;;;;;;;
Construction and recommendation of a water affair knowledge graph;2018;J Yan;;mdpi.com;https://www.mdpi.com/344312;TRUE;FALSE;;;;;;;
Building Domain-Specific Knowledge Graph for Unmanned Combat Vehicle Decision Making under Uncertainty;2019;S Wang;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8996418/;TRUE;FALSE;;;;;;;
AI Tutor: A Computer Science Domain Knowledge Graph-Based QA System on JADE platform;2020;Y Cui;;publications.waset.org;https://publications.waset.org/10011676/ai-tutor-a-computer-science-domain-knowledge-graph-based-qa-system-on-jade-platform;FALSE;FALSE;;;;;;;
Semantic Enhancement Based Dynamic Construction of Domain Knowledge Graph;2020;Y Sun;;Springer;https://link.springer.com/chapter/10.1007/978-3-030-59585-2_9;TRUE;FALSE;;;;;;;
DockerGen: A Knowledge Graph based Approach for Software Containerization;2021;H Ye;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9529714/;FALSE;FALSE;;;;;;;
Research on Tourism Question Answering System Based on Xi'an Tourism Knowledge Graph;2020;L Yang;;iopscience.iop.org;https://iopscience.iop.org/article/10.1088/1742-6596/1616/1/012090/meta;FALSE;FALSE;;;;;;;
Structured modeling of heterogeneous CAM model based on process knowledge graph;2018;X Li;;search.proquest.com;https://search.proquest.com/openview/c4627b609ad7b9be8545d1bd5526d879/1?pq-origsite=gscholar&cbl=2044010;FALSE;FALSE;;;;;;;
[HTML][HTML] An Intelligent Question Answering System of the Liao Dynasty Based on Knowledge Graph;2021;S Liu;;Springer;https://link.springer.com/article/10.1007/s44196-021-00010-3;FALSE;FALSE;;;;;;;
A Study on Knowledge Graph-based Subject Knowledge Discovery in Life Sciences and Medicine;2020;H Zhengyin;;manu44.magtech.com.cn;http://manu44.magtech.com.cn/Jwk_infotech_wk3/EN/abstract/abstract4889.shtml;FALSE;FALSE;;;;;;;
Construction of A Nautical Knowledge Graph Based on Multiple Data Sources;2019;Q Nie;;meridian.allenpress.com;https://meridian.allenpress.com/jcr/article-abstract/94/SI/223/429430;TRUE;FALSE;;;;;;;
An Automatic and Rapid Knowledge Graph Construction Method of SG-CIM Model;2020;G Wu;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9265939/;TRUE;FALSE;;;;;;;
Knowledge graph construction based on knowledge enhanced word embedding model in manufacturing domain;2021;J Dong;;content.iospress.com;https://content.iospress.com/articles/journal-of-intelligent-and-fuzzy-systems/ifs210982;TRUE;FALSE;;;;;;;
Jaket: Joint pre-training of knowledge graph and language understanding;2010;D Yu;;arxiv.org;https://arxiv.org/abs/2010.00796;FALSE;FALSE;;;;;;;
Personalized Knowledge Recommendation Based on Knowledge Graph in Petroleum Exploration and Development;2020;G Huang;;Scientific;https://www.worldscientific.com/doi/abs/10.1142/S0218001420590338;FALSE;FALSE;;;;;;;
Path-Based Learning for Plant Domain Knowledge Graph;2017;C Dong;;Springer;https://link.springer.com/chapter/10.1007/978-981-10-7359-5_2;FALSE;FALSE;;;;;;;
[PDF][PDF] Unscripted Conversation through Knowledge Graph.;2020;RR Ramnani;;ceur-ws.org;http://ceur-ws.org/Vol-2721/paper603.pdf;FALSE;FALSE;;;;;;;
Automatic Construction of Knowledge Graph and Its Application in Electric Power System;2021;Y Tan;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9403122/;TRUE;FALSE;;;;;;;
Design of Warning System Based on Knowledge Graph;2021;T Shao;;dl.acm.org;https://dl.acm.org/doi/abs/10.1145/3501409.3501502;FALSE;FALSE;;;;;;;
Knowledge Fragment Cleaning in a Genealogy Knowledge Graph;2020;G Liu;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9194537/;FALSE;FALSE;;;;;;;
Named Entity Recognition for Terahertz Domain Knowledge Graph based on Albert-BiLSTM-CRF;2020;X Zhang;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9084840/;FALSE;FALSE;;;;;;;
AliMe MKG: A Multi-modal Knowledge Graph for Live-streaming E-commerce;30;G Xu;;dl.acm.org;https://dl.acm.org/doi/abs/10.1145/3459637.3481983;TRUE;FALSE;;;;;;;
Information Extraction from Text for Deep Domain Knowledge Graph Population. Extracting Pre-Clinical Outcomes in the Domain of Spinal Cord Injury;2021;HR ter;;pub.uni-bielefeld.de;https://pub.uni-bielefeld.de/record/2959813;FALSE;FALSE;;;;;;;
An unsupervised learning method for named entity relation extraction of space knowledge graph;2021;Z Wei;;iopscience.iop.org;https://iopscience.iop.org/article/10.1088/1742-6596/1871/1/012051/meta;FALSE;FALSE;;;;;;;
Robotic Task Oriented Knowledge Graph for Human-Robot Collaboration in Disassembly;2019;Y Ding;;Elsevier;https://www.sciencedirect.com/science/article/pii/S2212827119304263;FALSE;FALSE;;;;;;;
Research on enterprise risk knowledge graph based on multi-source data fusion;2021;B Yang;;Springer;https://link.springer.com/article/10.1007/s00521-021-05985-w;FALSE;FALSE;;;;;;;
Extract domain terminologies for knowledge graph construction using domain feature vectors;2017;Z Luo;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8078715/;FALSE;FALSE;;;;;;;
DKG-PIPD: A Novel Method About Building Deep Knowledge Graph;2021;Y Liu;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9551950/;TRUE;FALSE;;;;;;;
How to capture the relationships between data? The DEK-G Methodology for designing an Enterprise Knowledge Graph;2021;RM Hulscher;;dspace.library.uu.nl;https://dspace.library.uu.nl/handle/1874/403369;TRUE;FALSE;;;;;;;
A Real-time Inference Method of Graph Attention Network Based on Knowledge Graph for Lung Cancer;2021;MY Zhang;;dl.acm.org;https://dl.acm.org/doi/abs/10.1145/3458380.3458436;FALSE;FALSE;;;;;;;
[HTML][HTML] A Group Recommendation System of Network Document Resource Based on Knowledge Graph and LSTM in Edge Computing;2020;Y Wu;;hindawi.com;https://www.hindawi.com/journals/scn/2020/8843803/;FALSE;FALSE;;;;;;;
Research on Semantic Similarity of Entities with the Case of Event Knowledge Graph;2020;T Li;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9421684/;FALSE;FALSE;;;;;;;
Automatic domain terminology extraction and its evaluation for domain knowledge graph construction;2018;Z Luo;;content.iospress.com;https://content.iospress.com/articles/web-intelligence/web385;FALSE;FALSE;;;;;;;
A Question Answering System of Ethnic Minorities Based on Knowledge Graph;2020;J Li;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9350829/;FALSE;FALSE;;;;;;;
Construction and Application Research of Knowledge Graph in Spacecraft Launch;2021;K Chao;;iopscience.iop.org;https://iopscience.iop.org/article/10.1088/1742-6596/1754/1/012180/meta;TRUE;FALSE;;;;;;;
Mutual Relation Detection for Complex Question Answering over Knowledge Graph;2020;Q Zhang;;Springer;https://link.springer.com/chapter/10.1007/978-3-030-59416-9_38;FALSE;FALSE;;;;;;;
Research Summary of Recommendation System Based on Knowledge Graph;2021;X He;;dl.acm.org;https://dl.acm.org/doi/abs/10.1145/3468920.3468935;FALSE;FALSE;;;;;;;
Construction of Radio Transmission Equipment Type Approval Knowledge Graph and its Application;2021;CX Li;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9389933/;FALSE;FALSE;;;;;;;
Design and Construction of Geographic Knowledge Graph;2020;Z Wei;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9339104/;TRUE;FALSE;;;;;;;
Construction of Scenic Spot Knowledge Graph Based on Ontology;2019;W Zeng;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8921048/;TRUE;FALSE;;;;;;;
Research on the Construction of a Knowledge Graph and Knowledge Reasoning Model in the Field of Urban Traffic;2021;J Tan;;mdpi.com;https://www.mdpi.com/1033918;FALSE;FALSE;;;;;;;
Knowledge Graph for Power Grid Dispatching of Digital Homes based on Graph Convolutional Network;2020;F Peng;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9457257/;FALSE;FALSE;;;;;;;
Question Answering System Based on Knowledge Graph in Air Defense Field;2020;Y Liuyang;;iopscience.iop.org;https://iopscience.iop.org/article/10.1088/1742-6596/1693/1/012033/meta;FALSE;FALSE;;;;;;;
A Multi-semantic Knowledge Graph Construction Scheme Suitable for Intelligent Power Customer Service;2021;D Zhang;;dl.acm.org;https://dl.acm.org/doi/abs/10.1145/3474198.3478153;FALSE;FALSE;;;;;;;
[HTML][HTML] Research on Medical Knowledge Graph for Stroke;2021;B Cheng;;hindawi.com;https://www.hindawi.com/journals/jhe/2021/5531327/;FALSE;FALSE;;;;;;;
Data set and evaluation of automated construction of financial knowledge graph;2021;W Wang;;direct.mit.edu;https://direct.mit.edu/dint/article-abstract/3/3/418/106758;FALSE;FALSE;;;;;;;
A Method for Constructing Knowledge Graph of Ethnic Cultural Information Resources;2020;J Wang;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9142525/;TRUE;FALSE;;;;;;;
A potential solution for intelligent energy management-knowledge graph;2018;X Wang;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8403466/;FALSE;FALSE;;;;;;;
Risk Assessment of Alpine Skiing Events Based on Knowledge Graph: A Focus on Meteorological Conditions;2021;M Wang;;mdpi.com;https://www.mdpi.com/1406746;FALSE;FALSE;;;;;;;
Automatic Analysis and Reasoning Based on Vulnerability Knowledge Graph;2019;S Qin;;Springer;https://link.springer.com/chapter/10.1007/978-981-15-1922-2_1;FALSE;FALSE;;;;;;;
Intelligent Question Answering System Based on Knowledge Graph of Beijing Opera;2021;W Hou;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9537849/;FALSE;FALSE;;;;;;;
A Model-Agnostic Recommendation Explanation System Based on Knowledge Graph;2020;Y Chen;;Springer;https://link.springer.com/chapter/10.1007/978-3-030-59051-2_10;FALSE;FALSE;;;;;;;
Radio Regulatory Knowledge Graph Framework and Its Application;2020;Q Lu;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9353042/;FALSE;FALSE;;;;;;;
Geographic knowledge graph (GeoKG): A formalized geographic knowledge representation;2019;S Wang;;mdpi.com;https://www.mdpi.com/441914;FALSE;FALSE;;;;;;;
Construction and application of knowledge graph of domestic operating system testing;2021;D Jin;;dl.acm.org;https://dl.acm.org/doi/abs/10.1145/3494885.3494933;TRUE;FALSE;;;;;;;
Construction of Substation Engineering Design Knowledge Graph Based on “Ontology Seven-step Method”;2021;W Jiang;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9475682/;TRUE;FALSE;;;;;;;
Research on Information Integration Method of Agricultural Products Producing and Managing Based on Knowledge Graph;2017;X Sun;;Springer;https://link.springer.com/content/pdf/10.1007/978-3-030-06137-1_22.pdf;FALSE;FALSE;;;;;;;
A design for constructing non-public economic knowledge graph;2021;C Ji;;spiedigitallibrary.org;https://www.spiedigitallibrary.org/conference-proceedings-of-spie/12085/120850R/A-design-for-constructing-non-public-economic-knowledge-graph/10.1117/12.2624998.short;TRUE;FALSE;;;;;;;
Research and Exploration on the Construction Method of Knowledge Graph of Water Field Based on Text;2019;J Yan;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9075549/;FALSE;FALSE;;;;;;;
Named Entity Recognition in Electric Power Metering Domain Based on Attention Mechanism;2021;K Zheng;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9585441/;FALSE;FALSE;;;;;;;
Chinese Named Entity Recognition for Clothing Knowledge Graph Construction;2019;M Zhu;;iopscience.iop.org;https://iopscience.iop.org/article/10.1088/1757-899X/646/1/012043/meta;FALSE;FALSE;;;;;;;
Construction of MeSH-like obstetric knowledge graph;2018;K Zhang;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8644569/;TRUE;FALSE;;;;;;;
Knowledge Graph Construction and Intelligent Question Answering on Science and Technology Intermediary Service;2021;S Feng;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9551099/;FALSE;FALSE;;;;;;;
Characterize scientific domain and domain context;12;J Zhang;;dl.acm.org;https://dl.acm.org/doi/abs/10.1145/2232817.2232890;FALSE;FALSE;;;;;;;
[HTML][HTML] Construct a Knowledge Graph for China Coronavirus (COVID-19) Patient Information Tracking;2021;J Wu;;ncbi.nlm.nih.gov;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8544565/;FALSE;FALSE;;;;;;;
[PDF][PDF] Review on the Knowledge Graph in Robotics Domain;3;S Wang;;atlantis-press.com;https://www.atlantis-press.com/article/125913157.pdf;FALSE;FALSE;;;;;;;
NUBOT: Embedded Knowledge Graph With RASA Framework for Generating Semantic Intents Responses in Roman Urdu;2102;J Shabbir;;arxiv.org;https://arxiv.org/abs/2102.10410;FALSE;FALSE;;;;;;;
Accelerating Road Sign Ground Truth Construction with Knowledge Graph and Machine Learning;2020;JE Kim;;arxiv.org;https://arxiv.org/abs/2012.02672;FALSE;FALSE;;;;;;;
Method of Domain Specific Code Generation Based on Knowledge Graph for Quantitative Trading;2017;J Bi;;Springer;https://link.springer.com/chapter/10.1007/978-3-319-94845-4_3;FALSE;FALSE;;;;;;;
Knowledge Graph Extension Based on Crowdsourcing in Textile and Clothing Field;2020;蔡志坚， 李欣洁，;;cqvip.com;http://www.cqvip.com/qk/86692x/202003/7102508314.html;FALSE;FALSE;;;;;;;
A Cross-Field Construction Method of Chinese Tourism Knowledge Graph based on Expasion and Adjustment of Entities;2020;W Tao;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9141655/;TRUE;FALSE;;;;;;;
Knowledge graph construction and applications for Web search and beyond;2019;P Wang;;direct.mit.edu;https://direct.mit.edu/dint/article-abstract/1/4/333/9987;TRUE;FALSE;;;;;;;
Application of knowledge graph in electric power field;4;X Li;;spiedigitallibrary.org;https://www.spiedigitallibrary.org/conference-proceedings-of-spie/12080/1208013/Application-of-knowledge-graph-in-electric-power-field/10.1117/12.2618223.short;FALSE;FALSE;;;;;;;
